@relation 'Coh-Metrix-Port Projeto PLN-weka.filters.unsupervised.attribute.Remove-R1'

@attribute rotulo {0,1}
@attribute basic_counts_adjectives numeric
@attribute basic_counts_adverbs numeric
@attribute basic_counts_content_words numeric
@attribute basic_counts_flesch numeric
@attribute basic_counts_function_words numeric
@attribute basic_counts_sentences_per_paragraph numeric
@attribute basic_counts_syllables_per_content_word numeric
@attribute basic_counts_words_per_sentence numeric
@attribute basic_counts_nouns numeric
@attribute basic_counts_paragraphs numeric
@attribute basic_counts_sentences numeric
@attribute basic_counts_words numeric
@attribute basic_counts_pronouns numeric
@attribute basic_counts_verbs numeric
@attribute logic_operators_and_incidence numeric
@attribute logic_operators_if_incidence numeric
@attribute logic_operators_or_incidence numeric
@attribute logic_operators_negation_incidence numeric
@attribute logic_operators_logic_operators numeric
@attribute cw_frequencies_cw_freq numeric
@attribute cw_frequencies_min_cw_freq numeric
@attribute hypernyms_hypernyms_verbs numeric
@attribute tokens_brunet numeric
@attribute tokens_honore numeric
@attribute tokens_mcu numeric
@attribute tokens_pronouns_per_np numeric
@attribute tokens_personal_pronouns numeric
@attribute tokens_ttr numeric
@attribute connectives_conn_incidence numeric
@attribute connectives_add_neg_conn_incidence numeric
@attribute connectives_add_pos_conn_incidence numeric
@attribute connectives_cau_neg_conn_incidence numeric
@attribute connectives_cau_pos_conn_incidence numeric
@attribute connectives_log_neg_conn_incidence numeric
@attribute connectives_log_pos_conn_incidence numeric
@attribute connectives_tmp_neg_conn_incidence numeric
@attribute connectives_tmp_pos_conn_incidence numeric
@attribute ambiguity_adjectives_ambiguity numeric
@attribute ambiguity_adverbs_ambiguity numeric
@attribute ambiguity_nouns_ambiguity numeric
@attribute ambiguity_verbs_ambiguity numeric
@attribute syntax_cross_entropy numeric
@attribute syntax_dep_distance numeric
@attribute syntax_frazier numeric
@attribute syntax_yngve numeric
@attribute semantic_density_content_density numeric
@attribute constituents_mod_per_np numeric
@attribute constituents_np_incidence numeric
@attribute constituents_words_before_main_verb numeric
@attribute anaphoras_adjacent_refs numeric
@attribute anaphoras_anaphoric_refs numeric
@attribute coreference_adj_arg_ovl numeric
@attribute coreference_arg_ovl numeric
@attribute coreference_adj_stem_ovl numeric
@attribute coreference_stem_ovl numeric
@attribute coreference_adj_cw_ovl numeric
@attribute lsa_adj_mean numeric
@attribute lsa_adj_std numeric
@attribute lsa_all_mean numeric
@attribute lsa_all_std numeric
@attribute lsa_paragraph_mean numeric
@attribute lsa_paragraph_std numeric
@attribute lsa_givenness_mean numeric
@attribute lsa_givenness_std numeric
@attribute lsa_span_mean numeric
@attribute lsa_span_std numeric

@data
0,85.714286,51.948052,610.38961,40.111462,381.818182,27,3.012766,14.259259,363.636364,1,27,385,62.337662,109.090909,36.363636,0,5.194805,0,41.558442,424048.7489,3951.925926,0.447368,12.135379,796.157749,1.407407,0.010302,5.194805,0.503896,64.935065,0,44.155844,0,18.181818,0,20.779221,0,5.194805,4.090909,3.111111,2.45,8.064516,0.636624,58.148148,6.351852,2.451732,1.598639,0.666667,365.833493,3.074074,0,0,0.846154,0.467236,1.076923,0.698006,0.961538,0.195235,0.211189,0.114562,0.148583,0,0,0.232915,0.170825,0.449744,0.260198
0,34.090909,11.363636,619.318182,49.133409,363.636364,8,2.623853,22,454.545455,1,8,176,73.863636,119.318182,34.090909,0,0,0,34.090909,803071.5229,4943.375,0.705882,10.288157,1169.537848,2,0,0,0.710227,62.5,0,34.090909,0,17.045455,0,22.727273,0,11.363636,5.5,4.5,1.625,12.625,0.605907,116.125,6.5625,2.737737,1.703125,0.802083,406.063022,0.75,0,0,1.714286,0.75,1.142857,0.5,1.142857,0.106816,0.133574,0.062849,0.126123,0,0,0.127212,0.115428,0.182154,0.16617
0,41.666667,0,708.333333,71.238,291.666667,5,2.411765,4.8,666.666667,1,5,24,0,0,0,0,0,0,0,250607.4706,1060,0,6.648688,3174.485856,1,0,0,0.958333,0,0,0,0,0,0,0,0,0,0,0,1.6875,0,1.008865,15.4,5.5,1.9,2.428571,0,311.666667,0,0,0,0,0,0.25,0.1,0,0.09355,0.13925,0.066423,0.166372,0,0,0.108313,0.132337,0.149422,0.113166
0,55.555556,23.809524,515.873016,48.248571,476.190476,6,2.923077,21,285.714286,1,6,126,95.238095,150.793651,71.428571,0,0,0,71.428571,294209,2688.833333,1.111111,10.258646,1260.222327,2.666667,0.012821,7.936508,0.666667,103.174603,7.936508,87.301587,0,23.809524,0,23.809524,0,0,7.142857,0.666667,2.611111,7.75,0.639767,75.5,7.916667,2.527833,1.083333,0.477778,408.946609,6.833333,0.2,0.4,1.4,1.066667,1.4,0.933333,1.2,0.262862,0.158688,0.211856,0.125148,0,0,0.311446,0.110438,0.36697,0.072708
0,58.035714,26.785714,602.678571,60.75125,388.392857,14,2.555556,16,419.642857,1,14,224,71.428571,98.214286,40.178571,4.464286,8.928571,8.928571,62.5,707925.8741,1132.428571,0.357143,10.669771,1259.061438,1.642857,0.011905,4.464286,0.669643,58.035714,4.464286,40.178571,0,8.928571,4.464286,4.464286,0,0,3.538462,2.6,1.808511,12,0.722076,83.785714,6.75,2.477215,1.551724,0.797279,434.287069,2.428571,0.076923,0.615385,0.230769,0.285714,0.307692,0.395604,0.230769,0.187281,0.276037,0.100965,0.14267,0,0,0.259481,0.2427,0.425684,0.263635
0,89.88764,22.47191,505.617977,27.583834,483.146067,4,3.422222,22.25,280.898876,1,4,89,56.179775,112.359551,78.651685,0,11.235955,11.235955,101.123595,198482.3111,3097.75,0.666667,9.943664,628.13678,2,0,0,0.651685,89.88764,11.235955,78.651685,0,0,0,0,0,0,3.5,1,4,8,0.434423,93,7.125,2.681563,1.046512,1.604167,446.935784,5.25,0,0,2,1.333333,3.333333,3,2.333333,0.392081,0.097707,0.458056,0.191097,0,0,0.516957,0.195001,0.546318,0.232588
0,60.301508,55.276382,708.542714,61.777711,281.407035,25,2.524823,7.96,507.537688,1,25,199,15.075377,85.427136,40.201005,0,0,0,40.201005,243382.695,122657,0.642857,11.39981,671.507083,1.08,0,0,0.557789,65.326633,0,45.226131,0,5.025126,0,20.100503,0,20.100503,4.583333,3.818182,1.29703,9.4,0,34.88,5.76,2.14376,2.517857,0.713636,607.015873,0.52,0,0,0.583333,0.356667,0.75,0.44,0.75,0.202605,0.373225,0.112454,0.129805,0,0,0.287992,0.363486,0.472367,0.433606
0,85.820896,29.850746,608.208955,38.191728,369.402985,13,2.920245,20.615385,399.253731,1,13,268,33.58209,93.283582,33.58209,0,0,3.731343,37.313433,394634.4479,2378.923077,0.304348,11.08184,1119.639933,1.769231,0,0,0.619403,74.626866,0,41.044776,0,29.850746,0,26.119403,0,7.462687,3.652174,2.25,2.542056,8.7,0.577369,90.230769,6.692308,2.780277,1.646465,0.618132,407.463769,6.923077,0,0,0.583333,0.397436,1.083333,0.602564,0.833333,0.122846,0.172609,0.087367,0.193105,0,0,0.195665,0.166959,0.377013,0.293959
0,74.829932,34.013605,612.244898,27.817959,387.755102,7,3.166667,21,367.346939,1,7,147,27.210884,136.054422,27.210884,0,13.605442,13.605442,54.421769,234140.5556,2756.428571,0.8,10.242915,921.109867,1.714286,0,0,0.693878,54.421769,0,34.013605,0,20.408163,0,13.605442,0,0,2.454545,3,2.87037,9.636364,0.447343,81,6.928571,2.828419,1.578947,1.321429,449.747713,5.428571,0,0,0.5,0.428571,1.333333,1,0.666667,0.415139,0.113601,0.362995,0.150776,0,0,0.467666,0.109126,0.548857,0.132683
0,60.10929,32.786885,530.054645,16.316844,469.945355,6,3.360825,30.5,311.47541,1,6,183,71.038251,125.68306,54.644809,0,0,5.464481,60.10929,276732.5258,5124.166667,0.909091,11.088553,842.567992,2.5,0,0,0.590164,120.218579,0,92.896175,0,32.786885,0,38.251366,0,5.464481,5.636364,0.333333,4.263158,8.166667,0.401928,144.166667,7.416667,3.145502,1.127907,1.277778,456.15953,8.666667,1,2.2,0.6,0.866667,1.8,0.933333,1.6,0.306575,0.149769,0.200912,0.123767,0,0,0.309191,0.120247,0.350328,0.13472
